Paper
"Yan-Kang Wang, Chengyi Xing, Yi-Lin Wei, Xiao-Ming Wu, Wei-Shi Zheng:
Single-View Scene Point Cloud Human Grasp Generation. 831-841"
"Haitao Yan, Qiongjie Cui, Jiexin Xie, Shijie Guo:
Forecasting of 3D Whole-Body Human Poses with Grasping Objects. 1726-1736"
"Yufei Ye, Abhinav Gupta, Kris Kitani, Shubham Tulsiani:
G-HOP: Generative Hand-Object Prior for Interaction Reconstruction and Grasp Synthesis. 1911-1920"
"Chandradeep Pokhariya, Ishaan Nikhil Shah, Angela Xing, Zekun Li, Kefan Chen, Avinash Sharma, Srinath Sridhar:
MANUS: Markerless Grasp Capture Using Articulated 3D Gaussians. 2197-2208"
"Bin Huang, Xin Wang, Hong Chen, Zihan Song, Wenwu Zhu:
VTimeLLM: Empower LLM to Grasp Video Moments. 14271-14280"
"Vuong Dinh An, Minh Nhat Vu, Baoru Huang, Nghia Nguyen, Hieu Le, Thieu Vo, Anh Nguyen:
Language-driven Grasp Detection. 17902-17912"
"Guo-Hao Xu, Yi-Lin Wei, Dian Zheng, Xiao-Ming Wu, Wei-Shi Zheng:
Dexterous Grasp Transformer. 17933-17942"
"Haoxiang Ma, Modi Shi, Boyang Gao, Di Huang:
Generalizing 6-DoF Grasp Detection via Domain Prior Knowledge. 18102-18111"
