Paper
"Yinzhen Xu, Weikang Wan, Jialiang Zhang, Haoran Liu, Zikang Shan, Hao Shen, Ruicheng Wang, Haoran Geng, Yijia Weng, Jiayi Chen, Tengyu Liu, Li Yi, He Wang:
UniDexGrasp: Universal Robotic Dexterous Grasping via Learning Diverse Proposal Generation and Goal-Conditioned Policy. 4737-4746"
"Jirong Liu, Ruo Zhang, Haoshu Fang, Minghao Gou, Hongjie Fang, Chenxi Wang, Sheng Xu, Hengxu Yan, Cewu Lu:
Target-referenced Reactive Grasping for Dynamic Objects. 8824-8833"
"Purva Tendulkar, Dídac Surís, Carl Vondrick:
FLEX: Full-Body Grasping Without Full-Body Grasps. 21179-21189"
